Assembly,Partners,PartnerWeight,EdgeWeight,Predecessor,Successor
ASSY - INFOTAINMENT MVP,Sunswift,0,0,"ASSY - HMI, ASSY - BLUETOOTH CONNECTIVITY, ASSY - APPLE & ANDROID COMPATABILITY, ASSY - SUNSWIFT PHONE APP",N/A
ASSY - BLUETOOTH CONNECTIVITY MVP,Sunswift,0,0,"ASSY - HMI, ASSY - INFOTAINMENT, ASSY - APPLE & ANDROID COMPATABILITY, ASSY - SUNSWIFT PHONE APP",N/A
ASSY - APPLE & ANDROID COMPATABILITY MVP,Sunswift,0,0,"ASSY - HMI, ASSY - INFOTAINMENT, ASSY - BLUETOOTH CONNECTIVITY, ASSY - SUNSWIFT PHONE APP",N/A
ASSY - SUNSWIFT PHONE APP MVP,Sunswift,0,12,"ASSY - TELEMETRY, ASSY - HMI, ASSY - INFOTAINMENT, ASSY - BLUETOOTH CONNECTIVITY, ASSY - APPLE & ANDROID COMPATABILITY",N/A
ASSY - INTRANET MVP,Sunswift,0,0,N/A,N/A
ASSY - CYBERSECURITY,Sunswift,0,0,N/A,N/A
ASSY - PERFORMANCE OPTIMISATION,Sunswift,0,0,N/A,N/A
ASSY - TELEMETRY,Sunswift,0,12,"ASSY - PERFORMANCE OPTIMSATION, ASSY - SUNSWIFT PHONE APP, ASSY - SENSORS",N/A
ASSY - TRACKSIDE RADIO COMMUNICATION,Sunswift,0,0,N/A,N/A
ASSY - TRIP ENERGY PREDICTION,Sunswift,0,0,"ASSY - TELEMETRY, ASSY - SENSORS, ASSY - INFOTAINMENT",N/A
ASSY - HUMAN MACHINE INTERFACE (HMI),Sunswift,0,0,"ASSY - HMI, ASSY - INFOTAINMENT, ASSY - BLUETOOTH CONNECTIVITY, ASSY - APPLE & ANDROID COMPATABILITY, ASSY - SUNSWIFT PHONE APP",N/A
ASSY - INFOTAINMENT,Sunswift,0,0,"ASSY - HMI, ASSY - BLUETOOTH CONNECTIVITY, ASSY - APPLE & ANDROID COMPATABILITY, ASSY - SUNSWIFT PHONE APP",N/A
ASSY - BLUETOOTH CONNECTIVITY,Sunswift,0,0,"ASSY - HMI, ASSY - INFOTAINMENT, ASSY - APPLE & ANDROID COMPATABILITY, ASSY - SUNSWIFT PHONE APP",N/A
ASSY - APPLE & ANDROID COMPATABILITY,Sunswift,0,0,"ASSY - HMI, ASSY - INFOTAINMENT, ASSY - BLUETOOTH CONNECTIVITY, ASSY - SUNSWIFT PHONE APP",N/A
